 q-point No.           q_x           q_y           q_z  q-path length
          25      21.007900     131.996528     700.748114      86.881654
          26      21.044848     132.228679     701.980565      87.034458
          27      21.629638     135.903025     721.487071      89.452956
          28      21.714808     136.438160     724.328015      89.805188
          29      21.971113     138.048572     732.877434      90.865180
          30      22.377290     140.600658     746.426044      92.544993
          31      23.168166     145.569881     772.806841      95.815794
          32      26.884785     168.922083     896.779886     111.186485
          33      27.476412     172.639388     916.514455     113.633259
          34      27.657314     173.776028     922.548692     114.381409
          35      28.837539     181.191603     961.916771     119.262426
          36      28.873063     181.414801     963.101693     119.409338
          37      31.673705     199.011756    1056.521069     130.991859
          38      34.428069     216.317935    1148.396762     142.382988
          39      35.185393     221.076343    1173.658374     145.515027
          40      35.958047     225.931069    1199.431329     148.710465
          41      36.512741     229.416316    1217.933937     151.004495
          42      37.166932     233.526719    1239.755397     153.710010
--
 q-point No.           q_x           q_y           q_z  q-path length
          10      0.000000      0.236842      0.000000       0.037510
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1       0.249747       1.569209       8.330673       1.032871
           2       3.246595      20.398959     108.294759      13.426833
           3       4.088467      25.688596     136.376583      16.908534
           4       4.949953      31.101469     165.112646      20.471350
           5       6.827851      42.900650     227.752580      28.237708
           6       7.412742      46.575634     247.262471      30.656625
           7       7.731706      48.579742     257.901958      31.975753
           8       8.002943      50.283975     266.949450      33.097499
           9       9.469214      59.496823     315.858965      39.161503
          10       9.785149      61.481905     326.397441      40.468107
          11      10.799153      67.853080     360.220977      44.661689
          12      11.170079      70.183675     372.593723      46.195713
          13      13.148019      82.611440     438.570710      54.375813
          14      13.691149      86.024023     456.687559      56.622015
          15      14.175370      89.066479     472.839460      58.624595
          16      14.568369      91.535762     485.948486      60.249906
          17      17.346136     108.988989     578.604828      71.737823
          18      17.949439     112.779652     598.728842      74.232882
          19      17.967307     112.891916     599.324834      74.306776
          20      18.195967     114.328633     606.952133      75.252440
          21      18.585056     116.773349     619.930731      76.861580
          22      19.089855     119.945093     636.769004      78.949259
          23      19.581478     123.034057     653.167813      80.982451
          24      20.184983     126.825990     673.298570      83.478346
          25      20.992048     131.896924     700.219334      86.816094
          26      21.057208     132.306341     702.392861      87.085577
          27      21.615429     135.813747     721.013110      89.394192
          28      21.689398     136.278507     723.480445      89.700103
          29      21.890778     137.543811     730.197738      90.532940
          30      22.340897     140.371993     745.212096      92.394483
          31      23.333386     146.607984     778.317962      96.499085
          32      26.763904     168.162565     892.747730     110.686562
          33      27.479517     172.658896     916.618016     113.646099
          34      27.630304     173.606318     921.647727     114.269703
          35      28.806236     180.994918     960.872606     119.132966
          36      28.942126     181.848742     965.405420     119.694963
          37      31.657358     198.909047    1055.975806     130.924255
          38      34.451379     216.464399    1149.174317     142.479392
          39      35.126471     220.706124    1171.692942     145.271345
          40      35.962851     225.961255    1199.591581     148.730334
          41      36.522812     229.479594    1218.269870     151.046145
          42      37.134089     233.320363    1238.659886     153.574184
--
 q-point No.           q_x           q_y           q_z  q-path length
          11      0.000000      0.263158      0.000000       0.041678
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1       0.363247       2.282349      12.116617       1.502268
           2       3.106066      19.515986     103.607198      12.845650
           3       4.511191      28.344647     150.477124      18.656777
           4       5.490848      34.500015     183.154973      22.708312
           5       6.863160      43.122504     228.930366      28.383735
           6       7.557651      47.486123     252.096110      31.255920
           7       7.729214      48.564085     257.818832      31.965447
           8       7.967954      50.064130     265.782330      32.952794
           9       9.537981      59.928903     318.152808      39.445903
          10       9.692538      60.900014     323.308276      40.085099
          11      10.688412      67.157273     356.527048      44.203700
          12      11.186477      70.286707     373.140705      46.263530
          13      13.043862      81.957002     435.096402      53.945054
          14      13.679677      85.951948     456.304922      56.574574
          15      14.134624      88.810462     471.480309      58.456082
          16      14.252450      89.550784     475.410559      58.943370
          17      17.343378     108.971654     578.512801      71.726414
          18      17.987477     113.018650     599.997645      74.390194
          19      18.024182     113.249273     601.221987      74.541993
          20      18.185579     114.263363     606.605623      75.209478
          21      18.557484     116.600108     619.011021      76.747551
          22      19.066004     119.795236     635.973440      78.850622
          23      19.686906     123.696480     656.684507      81.418466
