total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)
14	-90.60804901	-0.05825258	-89.79251289	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825258	-89.79251289	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.0582526	-89.79251261	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825248	-89.79251429	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825258	-89.79251289	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.0582526	-89.79251261	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825308	-89.79250589	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825314	-89.79250505	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825251	-89.78847003	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825252	-89.78846988999999	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825261	-89.78846863	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825258	-89.78846904999999	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825258	-89.78846904999999	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.0582526	-89.78846877	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825248	-89.78847044999999	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825258	-89.78846904999999	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.0582526	-89.78846877	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825308	-89.78846204999999	1260	(10, 14, 9)	600.0
14	-90.60400517	-0.05825314	-89.78846121	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825251	-89.79251037	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825252	-89.79251022999999	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825261	-89.79250897	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825258	-89.79250938999999	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825258	-89.79250938999999	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.0582526	-89.79250911	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825248	-89.79251079	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825258	-89.79250938999999	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.0582526	-89.79250911	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825308	-89.79250239	1260	(10, 14, 9)	600.0
14	-90.60804551	-0.05825314	-89.79250155	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825251	-89.79026566	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825252	-89.79026551999999	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825261	-89.79026426	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825258	-89.79026467999999	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825258	-89.79026467999999	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.0582526	-89.7902644	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825248	-89.79026608	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.05825258	-89.79026467999999	1260	(10, 14, 9)	600.0
14	-90.6058008	-0.0582526	-89.7902644	1260	(10, 14, 9)	600.0
